Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Adjustment Count P2
1,0,1,0,22,0.77,0.23,False,True,3,4,0,3,-4.27,4.6,0.3,3.82,1.45,1.19,695,750,903,679,8
2,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.67,-6.6,0.3,2.44,0.69,0.22,402,554,505,685,2
3,0,1,0,22,0.91,0.09,False,True,3,4,0,5,-5.68,5.85,0.2,4.38,1.16,0.17,794,736,975,597,5
4,0,1,0,22,0.68,0.32,False,True,3,4,0,0,-2.24,2.57,0.08,3.06,0.68,0,772,742,960,620,6
5,0,1,0,22,0.95,0.05,False,True,9,10,0,0,-7.62,8.01,0.14,2.33,1.14,1.27,909,176,657,103,9
6,0,1,0,22,0.86,0.14,False,True,3,4,0,3,-4.25,4.52,0.26,4.89,1.01,0.14,456,640,644,745,7
7,0,1,0,22,0.68,0.32,False,True,3,5,0,0,-2.65,3.03,0.61,0.75,2.71,2.89,613,738,872,701,5
8,0,1,0,22,0.73,0.27,False,True,3,4,0,0,-1.43,1.43,2.3,2.87,0.85,0.29,474,659,596,733,8
9,0,1,0,22,0.64,0.36,False,True,3,10,0,0,-0.79,0.79,0.8,3.64,0.84,0.67,422,594,522,697,7
10,0,1,0,22,0.82,0.18,False,True,3,10,0,0,-4.27,4.47,0.31,3.56,0.96,0.25,387,511,520,696,4
11,0,1,0,22,0.45,0.55,False,True,3,4,0,0,4.19,-4.48,0.41,1.23,2.34,3.18,882,694,968,609,7
12,0,1,0,22,0.36,0.64,False,True,3,10,0,0,4.31,-4.46,0.27,3.02,0.97,0.96,417,586,477,661,8
13,0,1,0,22,0.59,0.41,False,True,9,10,0,1,1.98,-2.13,0.86,3.6,1.48,0.46,406,286,377,388,7
14,0,1,0,22,0.55,0.45,False,True,3,10,0,0,1.21,-0.92,1.02,0.6,2.02,1.96,1023,394,918,184,3
15,0,1,0,22,0.82,0.18,False,True,9,10,0,0,-4.39,4.76,0.37,2.96,3.39,2.77,376,397,442,622,10
16,0,1,0,22,0.41,0.59,False,True,3,5,0,0,6.12,-5.88,0.33,1.98,0.36,0.3,752,746,918,666,3
17,0,1,0,22,0.73,0.27,False,True,9,10,0,3,-1.08,0.97,0.37,5.14,1.5,0.48,884,157,785,111,7
18,0,1,0,22,0.41,0.55,False,True,9,11,0,0,6.04,-5.79,0.33,1.98,0.34,0.28,560,132,422,256,3
19,0,1,0,22,0.45,0.55,False,True,9,11,0,0,4.93,-5.11,0.36,1.65,0.35,0.19,930,196,783,111,2
20,0,1,0,22,0.86,0.14,False,True,3,4,0,4,-4.54,4.74,0.48,5.19,1.77,0.17,523,697,738,748,5
21,0,1,0,22,0.59,0.41,False,True,8,10,0,0,4.63,-4.32,0.51,0.6,2.68,2.74,936,202,718,101,4
